StoryID,First Ending Sent,First Ending Kmeans Distance Metric,Second Ending Sent,Second Ending KMeans Distance Metric,Correct Answer
138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,He is happy now.,1.791152627628806,He joined a gang.,1.8552236424634088,1
bff9f820-9605-4875-b9af-fe6f14d04256,The brownies are so delicious Laverne eats two of them.,1.2015140450225799,Laverne doesn't go to her friend's party.,1.1962893321421255,1
e8f628d5-9f97-40ed-8611-fc0e774673c4,Sarah then decided to move to Europe.,1.6608977844051676,Sarah decided that she preferred her home over Europe.,1.5304647204987507,2
f5226bfe-9f26-4377-b05f-3d9568dbdec1,Gina liked the cookies so much she ate them all in one sitting.,1.3905175580802496,Gina gave the cookies away at her church.,1.435864214926847,1
69ac9b05-b956-402f-9fff-1f926ef9176b,I was very proud of my performance.,1.706908139973476,I was very ashamed of my performance.,1.6190186651636498,1
d80cabdd-7a85-47e3-86be-5ce6591ca51e,Jim took time to decide what he would take a picture of.,1.4050460517575798,Jim took 20 more photos.,1.5329422602764915,1
58090d3f-8a91-4c89-83ef-2b4994de9d24,Ron is immediately fired for insubordination.,1.8451137480482054,His boss commends him for a job well done.,1.7287221785474935,2
e17053ac-2046-48c8-a7a2-7b9509c10e64,"In Vegas, John and Billy competed against eighty contestants.",1.6059831694050828,John and Billy were disappointed.,1.908472341875307,1
69b26ae4-b778-4cd1-9f13-27d28fd4430e,But she gave up.,1.652695084881807,"Later, she passed the test.",1.6365162581900143,2
1f7d9fa2-2191-49de-bdd1-7d307293b9e0,Eventually Trish grudgingly came to accept nature.,1.6655452826488437,The fish had very interesting mating habits.,1.8244334830616538,1
a7905e16-15be-433f-bdef-b488a83e4582,Tony enjoyed going on the cruise.,1.5322405201244245,Tony was scared of the ocean.,1.5058134497088025,1
52dbbfda-5b42-4ace-8d59-55cee3eb30c0,Ignacio gave up swimming.,1.6060018874802056,Ignacio won a silver medal.,1.5934831105614733,2
1edf348d-6fce-4ea3-937c-28ade02f28b8,Danny decided to go to sleep.,1.6349421747385477,They prepared for the start of the race.,1.5583035313588756,2
0fe46de6-6ee3-4932-a578-268917372566,Mary disliked Pandas.,1.8910451659431413,Mary couldn't wait to present her report.,1.8977539149628817,2
625d1e13-8bd3-40b3-ac45-0b16a549fc69,Ellen ended up winning the prize.,1.7081435294071416,Ellen had to pay a replacement fee for her library card.,2.0165612211277417,1
aa615e4f-83c1-4b65-96a4-6a989d253a52,"Jesse went to the park with his new friend, Roger.",1.8765949705777736,Jesse was picked on by the other boys in school.,1.953106051986856,2
fa0d318c-d286-4c8e-adda-c2590f100f02,Tiffany went in to work the next day.,1.469732721724889,She was in pain but happy to not have to go to work.,1.5334201456328445,2
501c6884-8885-4df3-ae8c-f3f9328fde54,But she didn't want her phone anymore.,1.563448708859655,She found her phone in the car.,1.3944817839608723,2
8d9f72c4-7f31-4e86-8511-e921fd8f78bb,Alice called her mother and apologized profusely.,1.7205960532657554,Alice messaged a cute guy she saw on Tinder.,1.7398850404017805,1
ba87797c-dc31-402b-8740-d30c093d4df7,Ted continues to watch several movies a week.,1.379349912494002,He decides to stop watching movies.,1.4912524154546087,1
384621a9-d9b6-436d-8914-61a93d916015,She loved it so much she planned a trip for the next week.,1.9781001423534472,She was shot and vowed to never go there again.,1.9320680847857559,1
f531b039-67a6-4797-989d-24f716ed4073,Javier decides to get a smartphone.,1.2941248789668118,But then he misses his old phone.,1.3219522518522293,2
60facd71-c194-427a-9127-471d5844785e,Rachel broke down in tears.,1.802248235044684,Rachel started moonwalking with excitement.,1.7989461123922807,1
d4aff04b-ba93-4cff-8b35-7eb10dd9e23f,Ron started collecting bottle caps.,1.743090628096055,Ron applauded the officer's performance.,1.868355490642698,2
8db8ec1c-1d94-4f9d-b71d-3b533e30a1c5,Sam went on a diet.,1.268613837067976,Sam was happy.,1.2869431106612677,1
696b1a71-b684-45ec-8435-7b48274ee411,Larry loved going to the hospital.,1.9713770967995539,Larry became careful.,1.9544681666510753,2
1d14ed7d-5a05-476b-bfab-3e3568a0dd6b,Soon we were boyfriend and girlfriend and thinking of marriage.,1.5471116986638132,We broke up right away.,1.743403205135642,1
9f32f9ef-0b7b-461b-953f-3d7da39bac87,Sammy was not that into coffee.,1.6295019396848547,It worked for Sammy.,1.7567120264433043,2
3972aeda-e5f8-4776-abbb-8566bf38930a,Jared swerved quickly and managed to avoid a collision.,1.6231682095915068,Jared decided to accelerate.,1.6499913559252426,1
411b9523-5254-41ff-b740-e039d0423201,Joe thought about working in the garden as he ate the yummy soup.,1.290626944381449,Joe dumped the pot outside because he hated soup.,1.184703535406886,1
36b638c3-f2d1-44dc-bab1-5bf2a9d7fdff,"Aliza was sad, but she never contacted him again.",1.4813928837155932,He fell in love with Aliza and they were married.,1.3739446316978188,1
80b6447f-4c37-4194-9862-3785e5075463,Lina now knew that candy canes were boring.,1.604483820384871,Lina felt a new appreciation for candy canes.,1.4844048275744082,2
dd3506fe-31ce-4bbb-9000-02c222da3466,They were very friendly.,1.498622229730347,I threw the kickball through their closed window.,1.3102786731560363,1
ad42188e-383b-4c7d-9cd9-906725b7ce12,"By Sunday night, Bev was exhausted again.",1.930184683700106,"Bev got the mail and fed the fish, just like she did every day.",1.4762111569582506,1
